SPEED,TEMPERATURE,HEAD,DEVICE_ID,PUMP_MODE,FLOW,WARN,KW_HOUR,VOLTAGE,ALARM,POWER,CURRENT,TIMESTAMP,DEVICETYPE,DEVICEID,LOGICALINTERFACE_ID,EVENTTYPE,FORMAT,RCV_TIMESTAMP_UTC,UPDATED_UTC
1053,52.8,48.298,04714B601096,a,16.294,0,3629.927,251,0,1.556,7.15,3162341066,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,01:23.0,01:23.0
1053,53,48.289,04714B601096,a,14.196,0,3630.059,251,0,1.544,7.13,3162341366,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,06:23.2,06:23.2
1054,52.8,48.394,04714B601096,a,17.365,0,3630.19,251,0,1.57,7.17,3162341667,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,11:23.4,11:23.4
1057,53.1,48.711,04714B601096,a,30.14,0,3630.324,252,0,1.67,7.35,3162341967,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,16:23.6,16:23.6
1055,53.5,48.506,04714B601096,a,22.536,0,3630.462,251,0,1.614,7.27,3162342267,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,21:23.8,21:23.8
1054,53.3,48.407,04714B601096,a,20.656,0,3630.594,251,0,1.606,7.21,3162342567,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,26:24.0,26:24.0
1053,53.1,48.274,04714B601096,a,11.049,0,3630.722,251,0,1.52,7.12,3162342867,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,31:24.2,31:24.2
1052,52.9,48.163,04714B601096,a,7.41,0,3630.847,250,0,1.498,7.08,3162343168,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,36:24.4,36:24.4
1052,53.5,48.18,04714B601096,a,10.638,0,3630.972,250,0,1.514,7.06,3162343468,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,41:24.6,41:24.6
1052,53,48.188,04714B601096,a,12.14,0,3631.097,250,0,1.526,7.13,3162343768,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,46:24.8,46:24.8
1053,53.7,48.286,04714B601096,a,13.522,0,3631.225,251,0,1.544,7.14,3162344069,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,51:25.4,51:25.4
1052,53.1,48.154,04714B601096,a,5.759,0,3631.352,250,0,1.482,7.07,3162344369,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,56:25.6,56:25.6
1053,53.1,48.301,04714B601096,a,16.894,0,3631.479,251,0,1.562,7.14,3162344669,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,01:25.8,01:25.8
1055,53.2,48.501,04714B601096,a,21.267,0,3631.613,251,0,1.608,7.23,3162344969,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,06:26.1,06:26.1
1056,53.2,48.616,04714B601096,a,28.954,0,3631.751,252,0,1.664,7.31,3162345269,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,11:26.3,11:26.3
