deviceid,floatvalue_saliencyscore,floatvalue_kmeansscore,floatvalue_FFTScore,floatvalue_spectralScore,floatvalue_GenScore,floatvalue,timestamp
CakebreadId_0128,778.4317628007333,654.1507426471868,821.3008181661958,46.82482905527459,2.6058633365884813,38,01/31/2020 01:00,
CakebreadId_0128,725.726961580528,701.6230774062967,848.9786422407966,43.52912711720151,2.6522934505453537,45,01/31/2020 01:01,
CakebreadId_0128,616.8806036271708,705.420074076312,720.0960731785405,42.23318633789271,2.137711890757251,42,01/31/2020 01:01,
CakebreadId_0128,596.6800921693836,646.0579965998155,677.9261644721888,45.3635860736665,2.090346052307696,39,01/31/2020 01:02,
CakebreadId_0128,559.6950972413188,613.2237608948832,657.6778731580569,52.39809266235438,2.036801536404022,40,01/31/2020 01:02,
CakebreadId_0128,574.7652822868498,611.4979264950019,607.0158951889988,59.65263208963683,1.9870710672693725,45,01/31/2020 01:03,
CakebreadId_0128,609.9143697581255,584.6378380867327,583.0163698426005,62.64780315618063,2.0027701759751824,47,01/31/2020 01:03,
CakebreadId_0128,591.0479567612957,561.5361504300581,575.9398043377101,59.868139318635016,1.8579775161228866,43,01/31/2020 01:04,
CakebreadId_0128,492.03945270322316,522.4402170928976,508.08810449906423,54.38308534689839,1.4492193664986053,40,01/31/2020 01:04,
CakebreadId_0128,438.34611655526953,556.300573834975,444.1422925085474,50.08534447401977,1.4050119709511562,39,01/31/2020 01:05,
CakebreadId_0128,480.80767960189024,584.1966946581013,524.4572750562739,47.4450483164359,1.6837814526903878,46,01/31/2020 01:06,
CakebreadId_0128,542.2517504984423,666.216439608845,529.7055196916892,45.087986162013,1.8480286749624775,42,01/31/2020 01:06,
CakebreadId_0128,528.4664407233219,643.7578242830175,500.2716035604568,43.85424873166642,1.533106267677451,41,01/31/2020 01:07,
CakebreadId_0128,523.3590280176353,540.0470361645074,535.6768151343704,46.49701189568025,1.4766609444938972,38,01/31/2020 01:07,
CakebreadId_0128,522.5858708783037,517.0408584207909,468.42740525779567,53.50171851206728,1.3887852831719505,42,01/31/2020 01:08,
CakebreadId_0128,583.0771960530343,612.6285166543505,473.1448885291911,60.581263552928384,1.64774839759192,47,01/31/2020 01:08,
CakebreadId_0128,632.0073310953285,617.9792380373668,531.5725534516218,61.519203773299886,2.0168074051404674,44,01/31/2020 01:09,
CakebreadId_0128,715.4947890322499,589.4791899800761,694.7537146012398,54.967737490744376,2.434357338645052,42,01/31/2020 01:09,
CakebreadId_0128,669.1661510678568,663.0263768342886,716.5697570301146,46.89193506189658,1.759979817159091,43,01/31/2020 01:09,
CakebreadId_0128,668.5166958716202,708.0990485673105,593.0612109211885,45.319613880289644,1.484558783718381,38,01/31/2020 01:10,
CakebreadId_0128,649.0374493397226,764.9133572122663,461.1573451699012,53.06355820611162,1.535925793216362,39,01/31/2020 01:10,
CakebreadId_0128,578.5977667744025,747.7975151148942,451.9665410067829,65.2282432164142,1.7061711725234443,46,01/31/2020 01:11,
CakebreadId_0128,522.2770514834999,737.2254459586827,374.6686581634315,73.5941779054797,1.253363826225478,47,01/31/2020 01:11,
CakebreadId_0128,584.0576656504179,697.225107406379,448.95805116107744,72.63192857047724,1.5144249173666977,45,01/31/2020 01:11,
CakebreadId_0128,662.3605265170033,680.8769927980816,600.8846286582442,63.330339783642096,1.8461830535137544,43,01/31/2020 01:12,
CakebreadId_0128,644.8829507403906,716.2870785045925,543.7459424471867,52.11720872545706,1.5985866603073455,41,01/31/2020 01:12,
CakebreadId_0128,597.9225388690338,694.5608183766577,506.12265172327324,44.49398615834785,1.4505510185905413,42,01/31/2020 01:12,
CakebreadId_0128,551.1476370745379,724.7766522629549,514.1728132016731,40.76360786106306,1.6680438999994684,38,01/31/2020 01:12,
CakebreadId_0128,574.1654012088715,768.7366799647738,529.4390517284393,38.951633162935785,1.8761948163448818,45,01/31/2020 01:13,
CakebreadId_0128,592.8718361746907,669.4375762164964,514.7492946993358,39.0222726256745,1.6627509784664942,41,01/31/2020 01:15,
CakebreadId_0128,626.0680805753925,532.3865281195742,563.8543160127524,42.36724933088441,1.7086583020726351,38,01/31/2020 01:15,
CakebreadId_0128,632.1614435442173,537.4510421866444,543.7745049682137,48.299881695423004,1.5813925381679714,40,01/31/2020 01:15,
CakebreadId_0128,663.0646062374111,577.9283989361796,540.0226701268623,52.85557299168406,1.7065555360162812,47,01/31/2020 01:16,
CakebreadId_0128,722.6779150276768,598.8680927614138,544.0275794965648,52.23610056906788,1.9474181662914496,44,01/31/2020 01:17,
