"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-06-29-01.05.00.000000,9217,0.0,0.0,0.0,47.7,37.57,42.9,0.0,0.0,0.0
2021-06-29-01.10.00.000000,9218,0.0,0.0,0.0,47.7,37.6,42.9,0.0,0.0,0.0
2021-06-29-01.15.00.000000,9219,0.0,0.0,0.0,47.7,37.62,43.0,0.0,0.0,0.0
2021-06-29-01.20.00.000000,9220,0.0,0.0,0.0,47.8,37.64,43.0,0.0,0.0,0.0
2021-06-29-01.25.00.000000,9221,0.0,0.0,0.0,47.8,37.67,43.0,0.0,0.0,0.0
2021-06-29-01.30.00.000000,9222,0.0,0.0,0.0,47.8,37.69,43.1,0.0,0.0,0.0
2021-06-29-01.35.00.000000,9223,0.0,0.0,0.0,47.8,37.72,43.1,0.0,0.0,0.0
2021-06-29-01.40.00.000000,9224,0.0,0.0,0.0,47.9,37.74,43.1,0.0,0.0,0.0
2021-06-29-01.45.00.000000,9225,0.0,0.0,0.0,47.9,37.77,43.1,0.0,0.0,0.0
2021-06-29-01.50.00.000000,9226,0.0,0.0,0.0,47.9,37.79,43.2,0.0,0.0,0.0
2021-06-29-01.55.00.000000,9227,0.0,0.0,0.0,48.0,37.81,43.2,0.0,0.0,0.0
2021-06-29-02.00.00.000000,9228,0.0,0.0,0.0,48.0,37.84,43.2,0.0,0.0,0.0
2021-06-29-02.05.00.000000,9229,0.0,0.0,0.0,48.1,37.89,43.3,0.0,0.0,0.0
2021-06-29-02.10.00.000000,9230,0.0,0.0,0.0,48.1,37.94,43.3,0.0,0.0,0.0
2021-06-29-02.15.00.000000,9231,0.0,0.0,0.0,48.2,37.99,43.4,0.0,0.0,0.0
2021-06-29-02.20.00.000000,9232,0.0,0.0,0.0,48.3,38.04,43.5,0.0,0.0,0.0
2021-06-29-02.25.00.000000,9233,0.0,0.0,0.0,48.3,38.09,43.5,0.0,0.0,0.0
2021-06-29-02.30.00.000000,9234,0.0,0.0,0.0,48.4,38.15,43.6,0.0,0.0,0.0
2021-06-29-02.35.00.000000,9235,0.0,0.0,0.0,48.5,38.2,43.6,0.0,0.0,0.0
2021-06-29-02.40.00.000000,9236,0.0,0.0,0.0,48.5,38.25,43.7,0.0,0.0,0.0
2021-06-29-02.45.00.000000,9237,0.0,0.0,0.0,48.6,38.3,43.7,0.0,0.0,0.0
2021-06-29-02.50.00.000000,9238,0.0,0.0,0.0,48.7,38.35,43.8,0.0,0.0,0.0
2021-06-29-02.55.00.000000,9239,0.0,0.0,0.0,48.7,38.4,43.9,0.0,0.0,0.0
2021-06-29-03.00.00.000000,9240,0.0,0.0,0.0,48.8,38.45,43.9,0.0,0.0,0.0
2021-06-29-03.05.00.000000,9241,0.0,0.0,0.0,49.0,38.58,44.1,0.0,0.0,0.0
2021-06-29-03.10.00.000000,9242,0.0,0.0,0.0,49.1,38.71,44.2,0.0,0.0,0.0
2021-06-29-03.15.00.000000,9243,0.0,0.0,0.0,49.3,38.84,44.4,0.0,0.0,0.0
2021-06-29-03.20.00.000000,9244,0.0,0.0,0.0,49.5,38.97,44.5,0.0,0.0,0.0
2021-06-29-03.25.00.000000,9245,0.0,0.0,0.0,49.6,39.1,44.7,0.0,0.0,0.0
2021-06-29-03.30.00.000000,9246,0.0,0.0,0.0,49.8,39.23,44.8,0.0,0.0,0.0
2021-06-29-03.35.00.000000,9247,0.0,0.0,0.0,50.0,39.36,45.0,0.0,0.0,0.0
2021-06-29-03.40.00.000000,9248,0.0,0.0,0.0,50.1,39.49,45.1,0.0,0.0,0.0
2021-06-29-03.45.00.000000,9249,0.0,0.0,0.0,50.3,39.62,45.3,0.0,0.0,0.0
2021-06-29-03.50.00.000000,9250,0.0,0.0,0.0,50.5,39.75,45.4,0.0,0.0,0.0
2021-06-29-03.55.00.000000,9251,0.0,0.0,0.0,50.6,39.88,45.6,0.0,0.0,0.0
2021-06-29-04.00.00.000000,9252,0.0,0.0,0.0,50.8,40.01,45.7,0.0,0.0,0.0
2021-06-29-04.05.00.000000,9253,0.0,0.0,0.0,50.9,40.1,45.8,0.0,0.0,0.0
2021-06-29-04.10.00.000000,9254,0.0,0.0,0.0,51.0,40.19,45.9,0.0,0.0,0.0
2021-06-29-04.15.00.000000,9255,0.0,0.0,0.0,51.1,40.28,46.0,0.0,0.0,0.0
2021-06-29-04.20.00.000000,9256,0.0,0.0,0.0,51.2,40.37,46.1,0.0,0.0,0.0
2021-06-29-04.25.00.000000,9257,0.0,0.0,0.0,51.4,40.46,46.2,0.0,0.0,0.0
2021-06-29-04.30.00.000000,9258,0.0,0.0,0.0,51.5,40.55,46.3,0.0,0.0,0.0
2021-06-29-04.35.00.000000,9259,0.0,0.0,0.0,51.6,40.64,46.4,0.0,0.0,0.0
2021-06-29-04.40.00.000000,9260,0.0,0.0,0.0,51.7,40.73,46.5,0.0,0.0,0.0
2021-06-29-04.45.00.000000,9261,0.0,0.0,0.0,51.8,40.82,46.6,0.0,0.0,0.0
2021-06-29-04.50.00.000000,9262,0.0,0.0,0.0,51.9,40.91,46.7,0.0,0.0,0.0
2021-06-29-04.55.00.000000,9263,0.0,0.0,0.0,52.1,41.01,46.8,0.0,0.0,0.0
2021-06-29-05.00.00.000000,9264,0.0,0.0,0.0,52.2,41.1,47.0,0.0,0.0,0.0
2021-06-29-05.05.00.000000,9265,0.0,0.0,0.0,52.5,41.34,47.2,0.0,0.0,0.0
2021-06-29-05.10.00.000000,9266,0.0,0.0,0.0,52.8,41.59,47.5,0.0,0.0,0.0
2021-06-29-05.15.00.000000,9267,0.0,0.0,0.0,53.1,41.84,47.8,0.0,0.0,0.0
2021-06-29-05.20.00.000000,9268,0.0,0.0,0.0,53.4,42.09,48.1,0.0,0.0,0.0
2021-06-29-05.25.00.000000,9269,0.0,0.0,0.0,53.8,42.34,48.4,0.0,0.0,0.0
2021-06-29-05.30.00.000000,9270,0.0,0.0,0.0,54.1,42.59,48.7,0.0,0.0,0.0
2021-06-29-05.35.00.000000,9271,0.0,0.0,0.0,54.4,42.83,48.9,0.0,0.0,0.0
2021-06-29-05.40.00.000000,9272,0.0,0.0,0.0,54.7,43.08,49.2,0.0,0.0,0.0
2021-06-29-05.45.00.000000,9273,0.0,0.0,0.0,55.0,43.33,49.5,0.0,0.0,0.0
2021-06-29-05.50.00.000000,9274,21.6,607.1,14.7,53.8,45.89,45.8,79.2,90.3,66.28
2021-06-29-05.55.00.000000,9275,31.4,607.8,20.6,53.6,45.71,45.5,75.6,86.0,92.85
2021-06-29-06.00.00.000000,9276,43.1,613.8,28.4,53.0,45.21,45.3,82.9,96.8,127.75
2021-06-29-06.05.00.000000,9277,58.3,619.3,38.4,52.7,44.93,45.1,96.7,112.4,172.88
2021-06-29-06.10.00.000000,9278,71.3,623.4,47.4,52.6,44.81,45.1,116.0,134.5,213.4
2021-06-29-06.15.00.000000,9279,90.3,626.9,60.4,52.5,44.77,45.1,143.7,166.3,271.6
2021-06-29-06.20.00.000000,9280,108.2,629.5,72.5,52.4,44.68,45.1,170.7,196.9,326.04
2021-06-29-06.25.00.000000,9281,126.3,629.8,84.4,52.1,44.37,45.1,197.0,226.6,379.66
2021-06-29-06.30.00.000000,9282,147.1,630.9,98.5,51.9,44.21,45.1,226.0,259.1,443.05
2021-06-29-06.35.00.000000,9283,170.5,631.2,114.4,52.0,44.3,45.1,258.1,294.6,514.55
2021-06-29-06.40.00.000000,9284,196.2,631.9,131.7,52.3,44.6,45.1,293.5,333.5,592.39
2021-06-29-06.45.00.000000,9285,220.6,631.3,147.9,52.7,44.9,45.1,330.2,373.6,665.15
2021-06-29-06.50.00.000000,9286,246.0,629.6,164.4,53.1,45.26,45.1,368.4,415.3,739.38
2021-06-29-06.55.00.000000,9287,270.8,627.7,180.5,53.8,45.87,45.4,406.1,455.7,811.72
2021-06-29-07.00.00.000000,9288,296.7,624.2,196.8,54.5,46.48,45.7,443.7,495.8,884.95
2021-06-29-07.05.00.000000,9289,324.5,619.8,213.7,55.4,47.17,45.7,482.2,536.0,961.31
2021-06-29-07.10.00.000000,9290,354.4,615.9,231.7,56.1,47.77,45.3,522.6,577.9,1042.19
2021-06-29-07.15.00.000000,9291,383.5,611.4,248.7,56.8,48.43,45.0,559.5,615.1,1118.51
2021-06-29-07.20.00.000000,9292,406.8,607.7,262.2,57.2,48.77,45.0,589.5,644.3,1179.32
2021-06-29-07.25.00.000000,9293,422.0,604.1,270.5,57.8,49.28,45.4,609.2,662.5,1216.36
2021-06-29-07.30.00.000000,9294,431.2,601.1,275.1,58.5,49.84,45.9,623.6,674.9,1237.43
2021-06-29-07.35.00.000000,9295,438.5,597.7,278.3,59.3,50.52,46.5,635.5,684.5,1251.58
2021-06-29-07.40.00.000000,9296,449.6,593.8,283.5,60.1,51.17,47.1,650.8,697.3,1275.03
2021-06-29-07.45.00.000000,9297,465.1,589.8,291.1,60.8,51.83,47.9,671.3,715.1,1309.08
2021-06-29-07.50.00.000000,9298,481.7,584.7,299.2,61.7,52.55,48.7,692.8,733.1,1345.39
